(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT/examples/acta-astronautica/uranus-orbiter-probe$ python3 08-performance-analysis-prd.py
RUN #: 1, SAMPLE #: 110, EFPA: -11.49, SIGMA: -1.41, LD: 0.24, APO : 562018.63
RUN #: 242, SAMPLE #: 107, EFPA: -11.71, SIGMA: 0.24, LD: 0.28, APO : 517426.93
RUN #: 243, SAMPLE #: 55, EFPA: -11.78, SIGMA: 0.34, LD: 0.24, APO : 499065.62
RUN #: 244, SAMPLE #: 200, EFPA: -11.87, SIGMA: -0.44, LD: 0.24, APO : 497070.53
RUN #: 245, SAMPLE #: 94, EFPA: -11.62, SIGMA: -0.85, LD: 0.24, APO : 491918.29
RUN #: 246, SAMPLE #: 55, EFPA: -11.65, SIGMA: 1.73, LD: 0.24, APO : 495957.73
RUN #: 247, SAMPLE #: 68, EFPA: -11.66, SIGMA: -0.74, LD: 0.23, APO : 532025.67
RUN #: 248, SAMPLE #: 47, EFPA: -11.71, SIGMA: 1.42, LD: 0.24, APO : 514767.26
RUN #: 249, SAMPLE #: 107, EFPA: -11.61, SIGMA: 0.07, LD: 0.22, APO : 499489.56
RUN #: 250, SAMPLE #: 12, EFPA: -11.72, SIGMA: -0.65, LD: 0.24, APO : 513295.27
RUN #: 251, SAMPLE #: 115, EFPA: -11.85, SIGMA: -0.49, LD: 0.25, APO : 502071.69
RUN #: 252, SAMPLE #: 37, EFPA: -11.79, SIGMA: -0.14, LD: 0.23, APO : 610879.59
RUN #: 253, SAMPLE #: 179, EFPA: -11.87, SIGMA: 0.66, LD: 0.25, APO : 530425.30
RUN #: 254, SAMPLE #: 88, EFPA: -11.72, SIGMA: -0.26, LD: 0.23, APO : 481352.09
RUN #: 255, SAMPLE #: 140, EFPA: -11.53, SIGMA: 0.04, LD: 0.24, APO : 577435.91
RUN #: 256, SAMPLE #: 24, EFPA: -11.68, SIGMA: -0.62, LD: 0.23, APO : 511413.27
RUN #: 257, SAMPLE #: 11, EFPA: -11.62, SIGMA: 1.39, LD: 0.24, APO : 500354.86
RUN #: 258, SAMPLE #: 15, EFPA: -11.72, SIGMA: -1.18, LD: 0.23, APO : 516802.88
RUN #: 259, SAMPLE #: 183, EFPA: -11.72, SIGMA: -0.69, LD: 0.25, APO : 493108.48
RUN #: 260, SAMPLE #: 140, EFPA: -11.66, SIGMA: 1.45, LD: 0.22, APO : 537273.08
RUN #: 261, SAMPLE #: 95, EFPA: -11.73, SIGMA: -1.08, LD: 0.22, APO : 523602.26
RUN #: 262, SAMPLE #: 149, EFPA: -11.69, SIGMA: -0.06, LD: 0.24, APO : 527770.74
RUN #: 263, SAMPLE #: 90, EFPA: -11.65, SIGMA: 0.08, LD: 0.24, APO : 556583.52
RUN #: 264, SAMPLE #: 50, EFPA: -11.68, SIGMA: 1.63, LD: 0.22, APO : 462162.47
RUN #: 265, SAMPLE #: 85, EFPA: -11.75, SIGMA: 0.15, LD: 0.24, APO : 529053.23
RUN #: 266, SAMPLE #: 153, EFPA: -11.79, SIGMA: -0.68, LD: 0.24, APO : 499469.07
RUN #: 267, SAMPLE #: 132, EFPA: -11.65, SIGMA: -0.01, LD: 0.23, APO : 511736.89
RUN #: 268, SAMPLE #: 169, EFPA: -11.58, SIGMA: 2.29, LD: 0.24, APO : 522389.60
RUN #: 269, SAMPLE #: 85, EFPA: -11.81, SIGMA: 0.40, LD: 0.25, APO : 560654.17
RUN #: 270, SAMPLE #: 27, EFPA: -11.61, SIGMA: 2.33, LD: 0.24, APO : 546136.35
RUN #: 271, SAMPLE #: 45, EFPA: -11.50, SIGMA: 1.16, LD: 0.22, APO : 500995.49
RUN #: 272, SAMPLE #: 117, EFPA: -11.71, SIGMA: -0.21, LD: 0.26, APO : 585460.72
RUN #: 273, SAMPLE #: 133, EFPA: -11.60, SIGMA: 1.51, LD: 0.23, APO : 536110.58
RUN #: 274, SAMPLE #: 67, EFPA: -11.91, SIGMA: -2.01, LD: 0.23, APO : 517213.83
RUN #: 275, SAMPLE #: 188, EFPA: -11.73, SIGMA: 0.21, LD: 0.25, APO : 576081.11
RUN #: 276, SAMPLE #: 119, EFPA: -11.79, SIGMA: 1.23, LD: 0.24, APO : 483469.67
RUN #: 277, SAMPLE #: 84, EFPA: -11.59, SIGMA: 0.25, LD: 0.24, APO : 546237.82
RUN #: 278, SAMPLE #: 163, EFPA: -11.73, SIGMA: 0.68, LD: 0.24, APO : 548381.99
RUN #: 279, SAMPLE #: 166, EFPA: -11.60, SIGMA: -1.03, LD: 0.25, APO : 501347.60
RUN #: 280, SAMPLE #: 51, EFPA: -11.63, SIGMA: 0.12, LD: 0.22, APO : 510091.85
RUN #: 281, SAMPLE #: 90, EFPA: -11.76, SIGMA: 0.49, LD: 0.23, APO : 581455.69
RUN #: 282, SAMPLE #: 47, EFPA: -11.77, SIGMA: -0.45, LD: 0.24, APO : 545792.24
RUN #: 283, SAMPLE #: 26, EFPA: -11.56, SIGMA: 0.41, LD: 0.25, APO : 498472.70
RUN #: 284, SAMPLE #: 151, EFPA: -11.67, SIGMA: 0.67, LD: 0.21, APO : 525095.07
RUN #: 285, SAMPLE #: 89, EFPA: -11.81, SIGMA: 0.07, LD: 0.24, APO : 474307.70
RUN #: 286, SAMPLE #: 117, EFPA: -11.77, SIGMA: 1.18, LD: 0.23, APO : 522097.89
RUN #: 287, SAMPLE #: 144, EFPA: -11.58, SIGMA: -0.60, LD: 0.28, APO : 559609.67
RUN #: 288, SAMPLE #: 109, EFPA: -11.71, SIGMA: -0.35, LD: 0.24, APO : 543161.11
RUN #: 289, SAMPLE #: 38, EFPA: -11.64, SIGMA: 1.41, LD: 0.25, APO : 543770.46
RUN #: 290, SAMPLE #: 193, EFPA: -11.75, SIGMA: -0.59, LD: 0.27, APO : 543501.80
RUN #: 291, SAMPLE #: 48, EFPA: -11.62, SIGMA: -0.03, LD: 0.25, APO : 545019.54
RUN #: 292, SAMPLE #: 173, EFPA: -11.58, SIGMA: 0.67, LD: 0.24, APO : 530123.17
RUN #: 293, SAMPLE #: 53, EFPA: -11.76, SIGMA: 0.13, LD: 0.24, APO : 556595.56
RUN #: 294, SAMPLE #: 172, EFPA: -11.76, SIGMA: -1.75, LD: 0.25, APO : 528250.82
RUN #: 295, SAMPLE #: 142, EFPA: -11.87, SIGMA: 0.89, LD: 0.27, APO : 545967.40
RUN #: 296, SAMPLE #: 141, EFPA: -11.86, SIGMA: 0.58, LD: 0.26, APO : 540394.46
RUN #: 297, SAMPLE #: 11, EFPA: -11.55, SIGMA: 1.84, LD: 0.25, APO : 586014.18
RUN #: 298, SAMPLE #: 163, EFPA: -11.57, SIGMA: 1.25, LD: 0.23, APO : 529426.97
RUN #: 299, SAMPLE #: 13, EFPA: -11.67, SIGMA: -0.26, LD: 0.26, APO : 532443.76
RUN #: 300, SAMPLE #: 124, EFPA: -11.58, SIGMA: 0.11, LD: 0.23, APO : 489320.44
RUN #: 301, SAMPLE #: 110, EFPA: -11.66, SIGMA: 0.26, LD: 0.23, APO : 536966.60
RUN #: 302, SAMPLE #: 63, EFPA: -11.74, SIGMA: 1.69, LD: 0.26, APO : 536208.29
RUN #: 303, SAMPLE #: 73, EFPA: -11.73, SIGMA: -0.10, LD: 0.25, APO : 491709.53
RUN #: 304, SAMPLE #: 142, EFPA: -11.68, SIGMA: 0.91, LD: 0.23, APO : 474896.80
RUN #: 305, SAMPLE #: 80, EFPA: -11.69, SIGMA: -0.01, LD: 0.23, APO : 472923.02
RUN #: 306, SAMPLE #: 31, EFPA: -11.92, SIGMA: 1.07, LD: 0.26, APO : 548928.97
RUN #: 307, SAMPLE #: 198, EFPA: -11.77, SIGMA: 0.35, LD: 0.23, APO : 593299.90
RUN #: 308, SAMPLE #: 8, EFPA: -11.54, SIGMA: 1.27, LD: 0.26, APO : 584410.63
RUN #: 309, SAMPLE #: 126, EFPA: -11.57, SIGMA: 0.67, LD: 0.24, APO : 517187.70
RUN #: 310, SAMPLE #: 74, EFPA: -11.57, SIGMA: -0.78, LD: 0.24, APO : 516771.91
RUN #: 311, SAMPLE #: 146, EFPA: -11.62, SIGMA: 0.94, LD: 0.25, APO : 535246.35
RUN #: 312, SAMPLE #: 47, EFPA: -11.78, SIGMA: -0.33, LD: 0.25, APO : 539884.29
RUN #: 313, SAMPLE #: 164, EFPA: -11.74, SIGMA: -1.03, LD: 0.25, APO : 535922.64
RUN #: 314, SAMPLE #: 196, EFPA: -11.69, SIGMA: -0.38, LD: 0.21, APO : 531473.38
RUN #: 315, SAMPLE #: 136, EFPA: -11.72, SIGMA: 0.59, LD: 0.24, APO : 561750.34
RUN #: 316, SAMPLE #: 197, EFPA: -11.57, SIGMA: 0.15, LD: 0.25, APO : 612023.48
RUN #: 317, SAMPLE #: 119, EFPA: -11.49, SIGMA: 0.16, LD: 0.24, APO : 553103.17
RUN #: 318, SAMPLE #: 27, EFPA: -11.64, SIGMA: 1.68, LD: 0.24, APO : 524249.39
RUN #: 319, SAMPLE #: 16, EFPA: -11.62, SIGMA: -0.79, LD: 0.23, APO : 499839.79
RUN #: 320, SAMPLE #: 180, EFPA: -11.61, SIGMA: 0.89, LD: 0.23, APO : 498055.23
RUN #: 321, SAMPLE #: 167, EFPA: -11.84, SIGMA: -0.22, LD: 0.24, APO : 573897.29
RUN #: 322, SAMPLE #: 33, EFPA: -11.83, SIGMA: -0.57, LD: 0.27, APO : 527269.88
RUN #: 323, SAMPLE #: 113, EFPA: -11.68, SIGMA: 0.07, LD: 0.23, APO : 497512.45
RUN #: 324, SAMPLE #: 104, EFPA: -11.69, SIGMA: 0.16, LD: 0.24, APO : 576431.13
RUN #: 325, SAMPLE #: 186, EFPA: -11.67, SIGMA: 0.46, LD: 0.25, APO : 504175.77
RUN #: 326, SAMPLE #: 150, EFPA: -11.77, SIGMA: 0.39, LD: 0.22, APO : 569809.36
RUN #: 327, SAMPLE #: 55, EFPA: -11.74, SIGMA: 0.73, LD: 0.23, APO : 588094.40
RUN #: 328, SAMPLE #: 13, EFPA: -11.70, SIGMA: -0.40, LD: 0.22, APO : 536969.89
RUN #: 329, SAMPLE #: 20, EFPA: -11.57, SIGMA: -0.40, LD: 0.24, APO : 531005.39
RUN #: 330, SAMPLE #: 12, EFPA: -11.68, SIGMA: -0.08, LD: 0.24, APO : 491659.09
RUN #: 331, SAMPLE #: 107, EFPA: -11.82, SIGMA: -0.86, LD: 0.26, APO : 503623.87
RUN #: 332, SAMPLE #: 37, EFPA: -11.79, SIGMA: 1.14, LD: 0.25, APO : 521804.99
RUN #: 333, SAMPLE #: 80, EFPA: -11.62, SIGMA: 1.43, LD: 0.23, APO : 523781.69
RUN #: 334, SAMPLE #: 9, EFPA: -11.83, SIGMA: 0.78, LD: 0.27, APO : 533663.01
RUN #: 335, SAMPLE #: 193, EFPA: -11.57, SIGMA: 0.48, LD: 0.25, APO : 569469.40
RUN #: 336, SAMPLE #: 181, EFPA: -11.72, SIGMA: 1.48, LD: 0.25, APO : 564294.36
RUN #: 337, SAMPLE #: 86, EFPA: -11.63, SIGMA: -1.85, LD: 0.25, APO : 568629.33
RUN #: 338, SAMPLE #: 172, EFPA: -11.73, SIGMA: -0.01, LD: 0.23, APO : 554030.74
RUN #: 339, SAMPLE #: 55, EFPA: -11.73, SIGMA: -0.15, LD: 0.23, APO : 536755.50
RUN #: 340, SAMPLE #: 88, EFPA: -11.83, SIGMA: 1.30, LD: 0.22, APO : 549190.99
RUN #: 341, SAMPLE #: 9, EFPA: -11.74, SIGMA: 0.47, LD: 0.24, APO : 489307.70
RUN #: 342, SAMPLE #: 55, EFPA: -11.74, SIGMA: 0.31, LD: 0.24, APO : 484767.74
RUN #: 343, SAMPLE #: 47, EFPA: -11.61, SIGMA: -0.63, LD: 0.25, APO : 560674.45
RUN #: 344, SAMPLE #: 126, EFPA: -11.59, SIGMA: -0.49, LD: 0.25, APO : 487331.91
RUN #: 345, SAMPLE #: 112, EFPA: -11.72, SIGMA: -2.49, LD: 0.24, APO : 548089.97
RUN #: 346, SAMPLE #: 197, EFPA: -11.72, SIGMA: -1.64, LD: 0.25, APO : 525382.73
RUN #: 347, SAMPLE #: 92, EFPA: -11.59, SIGMA: 0.70, LD: 0.24, APO : 579156.86
RUN #: 348, SAMPLE #: 78, EFPA: -11.84, SIGMA: -0.31, LD: 0.23, APO : 511632.89
RUN #: 349, SAMPLE #: 187, EFPA: -11.71, SIGMA: -1.93, LD: 0.22, APO : 632950.28
RUN #: 350, SAMPLE #: 15, EFPA: -11.72, SIGMA: -0.21, LD: 0.23, APO : 509069.77
RUN #: 351, SAMPLE #: 121, EFPA: -11.73, SIGMA: 0.10, LD: 0.25, APO : 536784.32
RUN #: 352, SAMPLE #: 123, EFPA: -11.81, SIGMA: 1.05, LD: 0.24, APO : 550347.98
RUN #: 353, SAMPLE #: 188, EFPA: -11.71, SIGMA: -0.44, LD: 0.25, APO : 492783.88
RUN #: 354, SAMPLE #: 182, EFPA: -11.61, SIGMA: -0.66, LD: 0.24, APO : 536708.22
RUN #: 355, SAMPLE #: 52, EFPA: -11.98, SIGMA: 1.30, LD: 0.24, APO : 370105.20
RUN #: 356, SAMPLE #: 156, EFPA: -11.68, SIGMA: -1.24, LD: 0.26, APO : 469275.27
RUN #: 357, SAMPLE #: 163, EFPA: -11.70, SIGMA: 0.95, LD: 0.24, APO : 540613.81
RUN #: 358, SAMPLE #: 16, EFPA: -11.61, SIGMA: -1.48, LD: 0.23, APO : 544076.82
RUN #: 359, SAMPLE #: 190, EFPA: -11.67, SIGMA: 0.24, LD: 0.22, APO : 478614.91
RUN #: 360, SAMPLE #: 45, EFPA: -11.80, SIGMA: 0.44, LD: 0.24, APO : 524177.77
RUN #: 361, SAMPLE #: 12, EFPA: -11.85, SIGMA: -0.13, LD: 0.24, APO : 508554.09
RUN #: 362, SAMPLE #: 66, EFPA: -11.65, SIGMA: -1.46, LD: 0.24, APO : 527007.91
RUN #: 363, SAMPLE #: 71, EFPA: -11.81, SIGMA: 1.06, LD: 0.22, APO : 543437.20
RUN #: 364, SAMPLE #: 93, EFPA: -11.73, SIGMA: 0.06, LD: 0.23, APO : 481595.39
RUN #: 365, SAMPLE #: 125, EFPA: -11.80, SIGMA: 1.33, LD: 0.25, APO : 575712.40
RUN #: 366, SAMPLE #: 5, EFPA: -11.77, SIGMA: 0.11, LD: 0.25, APO : 504883.89
RUN #: 367, SAMPLE #: 65, EFPA: -11.64, SIGMA: -1.62, LD: 0.25, APO : 485597.20
RUN #: 368, SAMPLE #: 160, EFPA: -11.72, SIGMA: 0.37, LD: 0.22, APO : 498333.05
RUN #: 369, SAMPLE #: 7, EFPA: -11.64, SIGMA: -1.08, LD: 0.24, APO : 525921.40
RUN #: 370, SAMPLE #: 192, EFPA: -11.63, SIGMA: 0.72, LD: 0.22, APO : 503790.51
RUN #: 371, SAMPLE #: 85, EFPA: -11.80, SIGMA: -0.35, LD: 0.24, APO : 542412.73
RUN #: 372, SAMPLE #: 68, EFPA: -11.75, SIGMA: 0.16, LD: 0.24, APO : 526117.70
RUN #: 373, SAMPLE #: 44, EFPA: -11.64, SIGMA: 0.76, LD: 0.21, APO : 501589.74
RUN #: 374, SAMPLE #: 157, EFPA: -11.76, SIGMA: 0.27, LD: 0.25, APO : 515229.99
RUN #: 375, SAMPLE #: 171, EFPA: -11.79, SIGMA: -0.64, LD: 0.24, APO : 504129.06
RUN #: 376, SAMPLE #: 1, EFPA: -11.88, SIGMA: -0.78, LD: 0.25, APO : 523916.31
RUN #: 377, SAMPLE #: 47, EFPA: -11.47, SIGMA: 0.87, LD: 0.25, APO : 499905.66
RUN #: 378, SAMPLE #: 34, EFPA: -11.81, SIGMA: -0.81, LD: 0.23, APO : 475988.75
RUN #: 379, SAMPLE #: 116, EFPA: -11.68, SIGMA: -1.95, LD: 0.23, APO : 512927.94
RUN #: 380, SAMPLE #: 200, EFPA: -11.66, SIGMA: -0.28, LD: 0.24, APO : 499394.94
RUN #: 381, SAMPLE #: 186, EFPA: -11.89, SIGMA: 0.13, LD: 0.21, APO : 554304.92
RUN #: 382, SAMPLE #: 5, EFPA: -11.72, SIGMA: -1.01, LD: 0.22, APO : 511040.69
RUN #: 383, SAMPLE #: 57, EFPA: -11.59, SIGMA: -0.35, LD: 0.23, APO : 488320.10
RUN #: 384, SAMPLE #: 190, EFPA: -11.66, SIGMA: 1.72, LD: 0.23, APO : 498520.23
RUN #: 385, SAMPLE #: 126, EFPA: -11.65, SIGMA: 0.07, LD: 0.22, APO : 509594.50
RUN #: 386, SAMPLE #: 146, EFPA: -11.80, SIGMA: 3.16, LD: 0.25, APO : 543717.23
RUN #: 387, SAMPLE #: 73, EFPA: -11.67, SIGMA: -0.32, LD: 0.23, APO : 539741.62
RUN #: 388, SAMPLE #: 153, EFPA: -11.64, SIGMA: 0.25, LD: 0.23, APO : 513872.47
RUN #: 389, SAMPLE #: 114, EFPA: -11.70, SIGMA: 0.32, LD: 0.23, APO : 557787.55
RUN #: 390, SAMPLE #: 39, EFPA: -11.71, SIGMA: -0.53, LD: 0.24, APO : 567487.06
RUN #: 391, SAMPLE #: 105, EFPA: -11.61, SIGMA: -2.35, LD: 0.25, APO : 516267.52
RUN #: 392, SAMPLE #: 11, EFPA: -11.74, SIGMA: -0.24, LD: 0.25, APO : 520344.19
RUN #: 393, SAMPLE #: 91, EFPA: -11.72, SIGMA: 2.34, LD: 0.26, APO : 540721.73
RUN #: 394, SAMPLE #: 22, EFPA: -11.92, SIGMA: 0.93, LD: 0.25, APO : 493114.15
RUN #: 395, SAMPLE #: 187, EFPA: -11.60, SIGMA: -0.36, LD: 0.23, APO : 579070.81
RUN #: 396, SAMPLE #: 185, EFPA: -11.69, SIGMA: 1.23, LD: 0.23, APO : 481681.33
RUN #: 397, SAMPLE #: 148, EFPA: -11.56, SIGMA: 0.86, LD: 0.24, APO : 534477.79
RUN #: 398, SAMPLE #: 74, EFPA: -11.74, SIGMA: -0.71, LD: 0.25, APO : 487198.79
RUN #: 399, SAMPLE #: 165, EFPA: -11.82, SIGMA: 0.59, LD: 0.26, APO : 497065.38
RUN #: 400, SAMPLE #: 107, EFPA: -11.84, SIGMA: 0.23, LD: 0.24, APO : 507206.79
RUN #: 401, SAMPLE #: 69, EFPA: -11.71, SIGMA: 0.62, LD: 0.25, APO : 557491.82
RUN #: 402, SAMPLE #: 10, EFPA: -11.60, SIGMA: 0.19, LD: 0.24, APO : 530143.72
RUN #: 403, SAMPLE #: 121, EFPA: -11.69, SIGMA: 0.18, LD: 0.23, APO : 514912.42
RUN #: 404, SAMPLE #: 113, EFPA: -11.85, SIGMA: 1.21, LD: 0.23, APO : 524182.05
RUN #: 405, SAMPLE #: 71, EFPA: -11.73, SIGMA: 0.60, LD: 0.24, APO : 552315.12
RUN #: 406, SAMPLE #: 120, EFPA: -11.71, SIGMA: -0.58, LD: 0.24, APO : 498460.90
RUN #: 407, SAMPLE #: 183, EFPA: -11.80, SIGMA: -0.26, LD: 0.28, APO : 516629.15
RUN #: 408, SAMPLE #: 184, EFPA: -11.77, SIGMA: -0.44, LD: 0.22, APO : 545177.06
RUN #: 409, SAMPLE #: 112, EFPA: -11.65, SIGMA: -0.10, LD: 0.25, APO : 535896.33
RUN #: 410, SAMPLE #: 148, EFPA: -11.86, SIGMA: 1.40, LD: 0.23, APO : 534004.30
RUN #: 411, SAMPLE #: 189, EFPA: -11.63, SIGMA: -0.07, LD: 0.25, APO : 534077.05
RUN #: 412, SAMPLE #: 58, EFPA: -11.86, SIGMA: -0.00, LD: 0.24, APO : 513966.82
RUN #: 413, SAMPLE #: 157, EFPA: -11.66, SIGMA: 0.35, LD: 0.26, APO : 487843.69
RUN #: 414, SAMPLE #: 118, EFPA: -11.71, SIGMA: 1.34, LD: 0.24, APO : 516773.32
RUN #: 415, SAMPLE #: 173, EFPA: -11.67, SIGMA: -1.24, LD: 0.24, APO : 540936.59
RUN #: 416, SAMPLE #: 174, EFPA: -11.66, SIGMA: -1.62, LD: 0.21, APO : 534036.95
RUN #: 417, SAMPLE #: 49, EFPA: -11.86, SIGMA: -0.05, LD: 0.24, APO : 558397.49
RUN #: 418, SAMPLE #: 11, EFPA: -11.77, SIGMA: 0.00, LD: 0.26, APO : 505141.88
RUN #: 419, SAMPLE #: 179, EFPA: -11.71, SIGMA: 0.47, LD: 0.27, APO : 550707.26
RUN #: 420, SAMPLE #: 191, EFPA: -11.86, SIGMA: -0.06, LD: 0.25, APO : 495986.04
RUN #: 421, SAMPLE #: 127, EFPA: -11.43, SIGMA: -0.52, LD: 0.24, APO : 535028.74
RUN #: 422, SAMPLE #: 162, EFPA: -11.68, SIGMA: -0.11, LD: 0.25, APO : 541791.33
RUN #: 423, SAMPLE #: 14, EFPA: -11.49, SIGMA: 0.12, LD: 0.24, APO : 522216.38
RUN #: 424, SAMPLE #: 69, EFPA: -11.71, SIGMA: 0.77, LD: 0.28, APO : 503745.43
RUN #: 425, SAMPLE #: 34, EFPA: -11.70, SIGMA: 0.99, LD: 0.21, APO : 536558.91
RUN #: 426, SAMPLE #: 86, EFPA: -11.64, SIGMA: 0.74, LD: 0.27, APO : 506961.98
RUN #: 427, SAMPLE #: 2, EFPA: -11.66, SIGMA: 0.35, LD: 0.24, APO : 461628.99
RUN #: 428, SAMPLE #: 80, EFPA: -11.74, SIGMA: 1.53, LD: 0.24, APO : 541100.70
RUN #: 429, SAMPLE #: 176, EFPA: -11.72, SIGMA: -0.21, LD: 0.26, APO : 492805.73
RUN #: 430, SAMPLE #: 41, EFPA: -11.61, SIGMA: -0.13, LD: 0.23, APO : 527420.03
RUN #: 431, SAMPLE #: 173, EFPA: -11.72, SIGMA: 1.43, LD: 0.26, APO : 524977.98
RUN #: 432, SAMPLE #: 78, EFPA: -11.86, SIGMA: 0.84, LD: 0.25, APO : 513638.57
RUN #: 433, SAMPLE #: 148, EFPA: -11.83, SIGMA: 2.04, LD: 0.22, APO : 565382.95
RUN #: 434, SAMPLE #: 175, EFPA: -11.71, SIGMA: 1.74, LD: 0.23, APO : 524560.99
RUN #: 435, SAMPLE #: 29, EFPA: -11.70, SIGMA: 0.69, LD: 0.25, APO : 523877.51
RUN #: 436, SAMPLE #: 145, EFPA: -11.65, SIGMA: 0.44, LD: 0.24, APO : 521794.21
RUN #: 437, SAMPLE #: 103, EFPA: -11.78, SIGMA: 0.24, LD: 0.23, APO : 522853.85
RUN #: 438, SAMPLE #: 21, EFPA: -11.41, SIGMA: -0.73, LD: 0.25, APO : 534143.21
RUN #: 439, SAMPLE #: 101, EFPA: -11.81, SIGMA: -1.10, LD: 0.25, APO : 533434.59
RUN #: 440, SAMPLE #: 174, EFPA: -11.60, SIGMA: 0.76, LD: 0.25, APO : 480565.90
RUN #: 441, SAMPLE #: 146, EFPA: -11.64, SIGMA: 0.61, LD: 0.23, APO : 533882.00
RUN #: 442, SAMPLE #: 193, EFPA: -11.53, SIGMA: -0.28, LD: 0.24, APO : 523897.77
RUN #: 443, SAMPLE #: 82, EFPA: -11.63, SIGMA: 0.39, LD: 0.24, APO : 490472.63
RUN #: 444, SAMPLE #: 30, EFPA: -11.78, SIGMA: -0.67, LD: 0.25, APO : 473994.24
RUN #: 445, SAMPLE #: 172, EFPA: -11.58, SIGMA: -1.83, LD: 0.23, APO : 576454.09
RUN #: 446, SAMPLE #: 64, EFPA: -11.65, SIGMA: 0.51, LD: 0.26, APO : 509950.39
RUN #: 447, SAMPLE #: 36, EFPA: -11.59, SIGMA: -0.32, LD: 0.24, APO : 541278.59
RUN #: 448, SAMPLE #: 17, EFPA: -11.71, SIGMA: -0.69, LD: 0.24, APO : 512298.11
RUN #: 449, SAMPLE #: 160, EFPA: -11.82, SIGMA: 0.28, LD: 0.27, APO : 509256.58
RUN #: 450, SAMPLE #: 126, EFPA: -11.73, SIGMA: -0.79, LD: 0.24, APO : 488422.70
RUN #: 451, SAMPLE #: 188, EFPA: -11.81, SIGMA: -0.00, LD: 0.20, APO : 522870.71
RUN #: 452, SAMPLE #: 127, EFPA: -11.63, SIGMA: -1.89, LD: 0.26, APO : 596690.86
RUN #: 453, SAMPLE #: 54, EFPA: -11.80, SIGMA: -0.84, LD: 0.23, APO : 580910.95
RUN #: 454, SAMPLE #: 86, EFPA: -11.39, SIGMA: 0.15, LD: 0.24, APO : 550567.24
RUN #: 455, SAMPLE #: 171, EFPA: -11.78, SIGMA: 1.05, LD: 0.24, APO : 521088.42
RUN #: 456, SAMPLE #: 54, EFPA: -11.89, SIGMA: 0.06, LD: 0.23, APO : 559655.06
RUN #: 457, SAMPLE #: 8, EFPA: -11.61, SIGMA: 1.30, LD: 0.23, APO : 489533.17
RUN #: 458, SAMPLE #: 98, EFPA: -11.71, SIGMA: -0.11, LD: 0.24, APO : 517744.05
RUN #: 459, SAMPLE #: 74, EFPA: -11.75, SIGMA: -0.71, LD: 0.22, APO : 527400.62
RUN #: 460, SAMPLE #: 138, EFPA: -11.67, SIGMA: 1.64, LD: 0.24, APO : 492085.27
RUN #: 461, SAMPLE #: 193, EFPA: -11.48, SIGMA: -0.76, LD: 0.24, APO : 540651.48
RUN #: 462, SAMPLE #: 23, EFPA: -11.62, SIGMA: -1.45, LD: 0.23, APO : 527549.84
RUN #: 463, SAMPLE #: 61, EFPA: -11.64, SIGMA: 0.40, LD: 0.24, APO : 556243.18
RUN #: 464, SAMPLE #: 167, EFPA: -11.83, SIGMA: -0.27, LD: 0.25, APO : 526888.14
RUN #: 465, SAMPLE #: 159, EFPA: -11.70, SIGMA: -1.56, LD: 0.25, APO : 489393.76
RUN #: 466, SAMPLE #: 116, EFPA: -11.66, SIGMA: 0.45, LD: 0.22, APO : 541687.99
RUN #: 467, SAMPLE #: 120, EFPA: -11.70, SIGMA: 1.31, LD: 0.24, APO : 544143.64
RUN #: 468, SAMPLE #: 41, EFPA: -11.66, SIGMA: -0.01, LD: 0.23, APO : 532207.01
RUN #: 469, SAMPLE #: 97, EFPA: -11.61, SIGMA: -0.46, LD: 0.24, APO : 520891.43
RUN #: 470, SAMPLE #: 14, EFPA: -11.46, SIGMA: 0.67, LD: 0.24, APO : 513652.76
RUN #: 471, SAMPLE #: 115, EFPA: -11.78, SIGMA: -0.09, LD: 0.22, APO : 481616.64
RUN #: 472, SAMPLE #: 108, EFPA: -11.80, SIGMA: -0.43, LD: 0.23, APO : 567380.16
RUN #: 473, SAMPLE #: 153, EFPA: -11.71, SIGMA: -0.22, LD: 0.26, APO : 542296.65
RUN #: 474, SAMPLE #: 36, EFPA: -11.55, SIGMA: -0.16, LD: 0.24, APO : 540849.46
RUN #: 475, SAMPLE #: 32, EFPA: -11.75, SIGMA: 0.79, LD: 0.26, APO : 519432.90
RUN #: 476, SAMPLE #: 107, EFPA: -11.61, SIGMA: 0.16, LD: 0.24, APO : 563477.41
RUN #: 477, SAMPLE #: 24, EFPA: -11.69, SIGMA: -1.97, LD: 0.23, APO : 494948.80
RUN #: 478, SAMPLE #: 45, EFPA: -11.67, SIGMA: -0.78, LD: 0.25, APO : 514296.59
RUN #: 479, SAMPLE #: 29, EFPA: -11.63, SIGMA: -0.28, LD: 0.24, APO : 530378.62
RUN #: 480, SAMPLE #: 138, EFPA: -11.67, SIGMA: 1.32, LD: 0.23, APO : 525428.30
RUN #: 481, SAMPLE #: 55, EFPA: -11.92, SIGMA: 1.83, LD: 0.23, APO : 596727.79
RUN #: 482, SAMPLE #: 163, EFPA: -11.52, SIGMA: -1.35, LD: 0.25, APO : 576132.94
RUN #: 483, SAMPLE #: 97, EFPA: -11.70, SIGMA: -0.61, LD: 0.23, APO : 535513.71
RUN #: 484, SAMPLE #: 125, EFPA: -11.75, SIGMA: -1.34, LD: 0.25, APO : 605197.63
